Shape,Cut,Color,Clarity,Carat Weight,Length/Width Ratio,Depth %,Table %,Polish,Symmetry,Girdle,Culet,Length,Width,Height,Price,Type,Fluorescence
Heart,,D,VVS2,3.11,1.12,57.8,63,Excellent,Excellent,Medium to Very Thick,None,9.15,10.23,5.91,8680,GIA Lab-Grown,
Radiant,,E,VS1,1.05,1.47,67.5,65,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.22,4.92,3.32,1040,IGI Lab-Grown,None
Round,Excellent,H,VS2,1,1.01,61.4,62,Excellent,Excellent,Medium to Slightly Thick,None,6.38,6.42,3.93,3860,GIA,None
Round,Excellent,E,VS2,1.05,1,62.3,58,Excellent,Excellent,Medium to Slightly Thick,None,6.45,6.48,4.03,4100,GIA,Strong
Cushion Modified,Ideal,E,VS1,2.07,1.02,66.1,60,Excellent,Excellent,Medium to Thick,None,7.47,7.34,4.86,3200,GIA Lab-Grown,
Heart,,G,VVS2,1.03,1.19,60,63,Excellent,Excellent,Medium to Very Thick,None,5.83,6.95,4.17,5450,GIA,None
Pear,,E,VS1,1.02,1.74,63.9,57,Excellent,Excellent,Medium to Slightly Thick,Pointed,9.41,5.4,3.45,1030,IGI Lab-Grown,None
Cushion Modified,Ideal,E,VVS2,1.86,1,68.3,60,Excellent,Excellent,Thin to Slightly Thick,None,6.91,6.9,4.71,3040,GIA Lab-Grown,
Heart,,D,VS1,1.01,1.15,59.2,60,Excellent,Excellent,Medium to Thick,None,6.08,7.01,4.15,5240,GIA,None
Marquise,,F,VVS2,1.04,2.02,63,59,Excellent,Excellent,Slightly Thick,Pointed,10.59,5.24,3.3,1280,IGI Lab-Grown,None
Heart,,G,VVS2,1.25,1.16,59.7,59,Excellent,Excellent,Slightly Thick to Very Thick,None,6.38,7.42,4.43,1280,GIA,Strong
Radiant,,F,VS1,1.14,1.25,67.3,66,Excellent,Excellent,Medium to Slightly Thick,Pointed,6.9,5.51,3.71,1100,IGI Lab-Grown,None
Radiant,,F,VS1,1.15,1.43,67.8,66,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.34,5.15,3.49,1180,IGI Lab-Grown,None
Emerald,,H,VS1,1,1.3,72.3,66,Excellent,Excellent,Thick to Very Thick,None,6.12,4.71,3.41,2450,GIA,None
Oval,,D,VS1,1.01,1.5,61.1,60,Excellent,Very Good,Slightly Thick to Thick,None,8.35,5.57,3.4,1020,GIA Lab-Grown,
Marquise,,D,VS1,1.08,2.03,63.7,56,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.78,5.32,3.39,1180,IGI Lab-Grown,None
Radiant,,D,VVS2,1.02,1.4,69.3,67,Excellent,Excellent,Medium to Slightly Thick,None,7.2,5.13,3.55,1280,GIA Lab-Grown,
Round,Excellent,D,VS1,1.55,1,61.9,56,Excellent,Excellent,Medium to Slightly Thick,None,7.4,7.42,4.59,1810,GIA Lab-Grown,
Pear,,H,VS2,1.01,1.69,58.6,60,Excellent,Very Good,Slightly Thick to Very Thick,None,9.11,5.39,3.16,3200,GIA,None
Marquise,,D,VVS2,1.02,2.03,60.6,57,Excellent,Very Good,Slightly Thick to Thick,None,10.78,5.32,3.23,1240,GIA Lab-Grown,
Cushion Modified,Ideal,D,VVS2,1.82,1,66,62,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.15,7.12,4.7,4780,IGI Lab-Grown,None
Marquise,,F,VS1,1.01,1.98,62.5,58,Excellent,Very Good,Slightly Thick to Very Thick,None,10.37,5.24,3.27,5110,GIA,Faint
Heart,,G,VS2,1.01,1.21,61,62,Excellent,Very Good,Thick,None,5.79,6.98,4.26,3480,GIA,None
Pear,,H,VS2,1,1.45,65.6,57,Excellent,Excellent,Thick to Very Thick,None,8.01,5.54,3.64,3420,GIA,None
Heart,,E,VS1,4.07,1.14,54.7,63,Excellent,Excellent,Medium to Slightly Thick,Pointed,9.92,11.33,6.2,9240,IGI Lab-Grown,None
Oval,,F,VS1,1.02,1.45,63.8,58,Excellent,Very Good,Slightly Thick to Thick,None,8.03,5.53,3.53,4100,GIA,Strong
Radiant,,E,VS1,1.05,1.42,67.8,66,Excellent,Excellent,Medium,Pointed,7.19,5.06,3.43,1040,IGI Lab-Grown,None
Oval,,D,VS1,1.01,1.46,64.9,59,Excellent,Excellent,Slightly Thick to Thick,None,8.06,5.53,3.59,1070,GIA Lab-Grown,
Heart,,F,VS1,2.11,1.09,59.6,61,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.01,8.71,5.19,2880,IGI Lab-Grown,None
Oval,,D,VS1,1,1.4,62.7,58,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.97,5.69,3.57,1060,IGI Lab-Grown,None
Oval,,H,VS2,1,1.57,62.4,57,Excellent,Excellent,Thick to Very Thick,None,8.32,5.31,3.32,4390,GIA,Medium
Oval,,G,VVS2,1.01,1.44,58.8,56,Excellent,Excellent,Slightly Thick to Very Thick,None,8.11,5.64,3.32,4870,GIA,Faint
Princess,Ideal,D,VS1,1.01,1,69.5,70,Excellent,Excellent,Medium,Pointed,5.47,5.47,3.8,1090,IGI Lab-Grown,None
Heart,,E,VS1,1.51,1.13,55.1,59,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.14,8.06,4.44,1940,IGI Lab-Grown,None
Pear,,G,VS1,1,1.51,63,58,Excellent,Excellent,Medium to Thick,None,8.54,5.64,3.55,4380,GIA,None
Pear,,F,VS2,1,1.69,58.6,60,Excellent,Very Good,Thick to Very Thick,None,9.33,5.52,3.24,5010,GIA,None
Princess,Ideal,E,VS1,1.23,1.01,73,71,Excellent,Excellent,Medium,Pointed,5.79,5.74,4.19,1200,IGI Lab-Grown,None
Cushion Modified,Ideal,D,VS1,1.53,1.02,71.1,61,Excellent,Excellent,Slightly Thick to Very Thick,None,6.62,6.49,4.61,2090,GIA Lab-Grown,
Heart,,G,VS1,1.5,1.17,58.4,57,Excellent,Excellent,Thin to Extremely Thick,None,6.85,7.99,4.67,8680,GIA,Faint
Princess,Ideal,G,VS2,1.09,1,72.5,71,Excellent,Excellent,Medium to Slightly Thick,None,5.58,5.56,4.03,3190,GIA,None
Cushion,Ideal,D,VVS1,2.68,1.03,66.6,59,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.2,7.99,5.32,6340,IGI Lab-Grown,None
Heart,,G,VS1,1.6,1.24,59.3,60,Excellent,Very Good,Slightly Thick to Thick,None,6.54,8.13,4.82,6340,GIA,Faint
Pear,,E,VS1,1.09,1.69,62.4,60,Excellent,Very Good,Medium to Thick,None,9.53,5.63,3.51,1040,GIA Lab-Grown,
Oval,,E,VS1,1.03,1.42,61.6,61,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.19,5.76,3.55,1010,IGI Lab-Grown,None
Cushion Modified,Ideal,F,VS1,2.57,1.01,65.6,62,Excellent,Excellent,Slightly Thick to Very Thick,None,8.02,7.94,5.21,6020,GIA Lab-Grown,
Round,Very Good,G,VS2,1,1.01,63.6,57,Excellent,Very Good,Slightly Thick to Thick,None,6.2,6.28,3.97,3840,GIA,None
Radiant,,G,VS1,1,1.25,67.5,69,Excellent,Very Good,Thick,None,6.5,5.19,3.5,3270,GIA,None
Princess,Ideal,G,VS1,1,1.01,73.9,68,Excellent,Excellent,Slightly Thick to Thick,None,5.47,5.39,3.99,3160,GIA,Faint
Marquise,,D,VS1,1.5,1.8,63.2,61,Excellent,Very Good,Slightly Thick to Extremely Thick,None,10.88,6.03,3.81,13780,GIA,None
Princess,Ideal,E,VVS2,1.02,1.02,73.3,72,Excellent,Excellent,Medium to Slightly Thick,Pointed,5.48,5.36,3.93,1190,IGI Lab-Grown,None
Princess,Ideal,E,VVS2,1.03,1.02,72,70,Excellent,Excellent,Medium,Pointed,5.51,5.42,3.9,1200,IGI Lab-Grown,None
Oval,,E,VS1,1.06,1.39,62.5,60,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.1,5.82,3.64,1030,IGI Lab-Grown,None
Marquise,,H,VS1,1.01,2.1,58.2,60,Excellent,Excellent,Medium to Thick,None,10.72,5.11,2.97,3700,GIA,None
Marquise,,E,VVS2,1.04,2.03,62.9,60,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.62,5.23,3.29,1230,IGI Lab-Grown,None
Oval,,F,VS2,1.01,1.39,66.3,58,Excellent,Very Good,Very Thick,None,7.56,5.44,3.61,4560,GIA,None
Marquise,,E,VS1,1.21,1.92,64.9,58,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.72,5.58,3.62,1200,IGI Lab-Grown,None
Oval,,H,VS2,1.02,1.35,63.1,56,Excellent,Excellent,Slightly Thick to Thick,None,7.7,5.69,3.6,3890,GIA,None
Princess,Ideal,H,VS1,1.04,1.01,74.5,71,Excellent,Excellent,Thick to Very Thick,None,5.51,5.47,4.07,4330,GIA,None
Oval,,D,VS2,1.04,1.37,62.9,62,Excellent,Excellent,Medium to Thick,None,7.82,5.72,3.6,4480,GIA,Strong
Princess,Ideal,E,VVS2,1.01,1.02,71,68,Excellent,Very Good,Medium to Slightly Thick,None,5.65,5.55,3.94,1120,GIA Lab-Grown,
Round,Excellent,D,VS1,1.54,1,59.2,59,Excellent,Excellent,Thin to Medium,None,7.55,7.57,4.47,1800,GIA Lab-Grown,
Cushion Modified,Ideal,E,VVS2,1.63,1.01,63.5,58,Excellent,Very Good,Medium to Very Thick,None,6.89,6.82,4.33,2400,GIA Lab-Grown,
Princess,Ideal,F,VVS2,1,1.04,73.7,67,Excellent,Excellent,Medium to Slightly Thick,Pointed,5.6,5.36,3.95,1120,IGI Lab-Grown,None
Heart,,E,VS1,1.32,1.13,56.3,61,Excellent,Very Good,Slightly Thick to Thick,None,6.86,7.73,4.35,7240,GIA,None
Marquise,,D,VS1,1.01,1.83,65.6,60,Excellent,Very Good,Thick to Extremely Thick,None,9.59,5.25,3.44,5750,GIA,Faint
Princess,Ideal,G,VS2,1,1.01,73.7,72,Excellent,Excellent,Slightly Thick to Thick,None,5.48,5.45,4.02,5750,GIA,Faint
Heart,,D,VVS1,1.05,1.18,59.4,57,Excellent,Excellent,Medium to Slightly Thick,Pointed,6.04,7.12,4.23,1900,IGI Lab-Grown,None
Pear,,D,VS2,1.02,1.62,62.8,62,Excellent,Excellent,Medium to Very Thick,None,9,5.54,3.48,4570,GIA,None
Oval,,E,VS1,1.1,1.41,63.1,59,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.21,5.83,3.68,1070,IGI Lab-Grown,None
Emerald,,H,VVS1,1,1.51,69,61,Excellent,Very Good,Slightly Thick to Thick,None,6.91,4.59,3.17,2540,GIA,Faint
Heart,,E,VS1,2.02,1.09,59,55,Excellent,Excellent,Slightly Thick to Very Thick,None,7.87,8.6,5.07,3120,GIA Lab-Grown,
Marquise,,E,VS1,1.09,2.02,63.8,59,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.7,5.31,3.39,1100,IGI Lab-Grown,None
Oval,,F,VS1,1.06,1.41,61.9,61,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.19,5.8,3.59,1060,IGI Lab-Grown,None
Oval,,E,VS1,1.11,1.4,62.4,61,Excellent,Excellent,Medium to Slightly Thick,None,8.24,5.88,3.67,1080,GIA Lab-Grown,
Oval,,D,VS1,1.07,1.44,60.2,61,Excellent,Very Good,Thin to Slightly Thick,None,8.43,5.84,3.52,1080,GIA Lab-Grown,
Princess,Ideal,E,VS1,1.23,1.01,71.8,67,Excellent,Very Good,Thick to Very Thick,None,5.9,5.82,4.18,1140,GIA Lab-Grown,
Oval,,H,VS2,1.2,1.36,63.8,57,Excellent,Excellent,Slightly Thick to Thick,None,8.12,5.96,3.8,5220,GIA,Strong
Pear,,E,VS1,1.1,1.59,62.3,58,Excellent,Very Good,Medium to Thick,None,9.16,5.76,3.58,1050,GIA Lab-Grown,
Round,Very Good,G,VS2,1,1.01,60.8,59,Excellent,Very Good,Slightly Thick to Thick,None,6.32,6.41,3.87,4090,GIA,None
Heart,,D,VVS1,2.11,1.1,58.9,57,Excellent,Excellent,Slightly Thick to Thick,None,8.1,8.9,5.24,4820,GIA Lab-Grown,
Heart,,D,VVS2,2.25,1.13,55.4,64,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.14,9.17,5.08,4560,IGI Lab-Grown,None
Marquise,,E,VS1,1.1,2.03,63.4,59,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.9,5.38,3.41,1100,IGI Lab-Grown,None
Princess,Ideal,H,VS1,1.01,1.02,72.4,72,Excellent,Very Good,Medium to Slightly Thick,None,5.71,5.6,4.06,3280,GIA,None
Princess,Very Good,H,VS2,1.12,1.01,67.6,78,Very Good,Very Good,Slightly Thick,None,5.91,5.85,3.96,3850,GIA,None
Pear,,H,VS1,1.07,1.56,61.3,60,Excellent,Excellent,Medium to Thick,None,8.88,5.69,3.49,4010,GIA,None
Heart,,F,VS2,1,1.13,61.3,55,Very Good,Very Good,Medium to Extremely Thick,None,5.96,6.76,4.15,4500,GIA,None
Pear,,E,VS1,1.04,1.63,63.5,57,Excellent,Excellent,Medium to Slightly Thick,Pointed,9.01,5.54,3.52,1050,IGI Lab-Grown,None
Heart,,F,VS1,4.1,1.11,55.2,62,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.11,11.18,6.17,8030,IGI Lab-Grown,None
Marquise,,D,VS1,1.2,1.9,64.7,60,Excellent,Very Good,Medium to Very Thick,None,10.53,5.53,3.58,9830,GIA,None
Cushion Modified,Ideal,F,VS1,2.54,1.01,65.9,61,Excellent,Excellent,Medium to Thick,None,7.96,7.9,5.2,5950,GIA Lab-Grown,
Princess,Ideal,E,VS1,1.01,1,74,72,Excellent,Very Good,Thick to Very Thick,None,5.39,5.38,3.98,3620,GIA,None
Cushion Modified,Ideal,F,VVS2,2.79,1.02,66.6,63,Excellent,Excellent,Slightly Thick to Thick,None,8.25,8.08,5.38,5700,GIA Lab-Grown,
Oval,,D,VS1,1.04,1.55,58.7,59,Very Good,Very Good,Medium to Thick,None,8.76,5.66,3.32,4330,GIA,Strong
Marquise,,D,VS2,1.01,1.87,66.1,57,Very Good,Good,Thin to Very Thick,None,9.76,5.21,3.45,5330,GIA,None
Cushion Modified,Ideal,D,VVS1,1.7,1.03,65.5,62,Excellent,Very Good,Slightly Thick to Very Thick,None,7.01,6.83,4.47,3680,GIA Lab-Grown,
Pear,,F,VS1,1.09,1.59,61.7,60,Excellent,Excellent,Thin to Slightly Thick,Pointed,9.27,5.82,3.59,1080,IGI Lab-Grown,None
Round,Excellent,D,VS1,1.51,1.01,61.3,57,Excellent,Excellent,Medium,None,7.37,7.41,4.53,1770,GIA Lab-Grown,
Round,Excellent,D,VS1,1.59,1.01,60.7,59,Excellent,Excellent,Medium,None,7.52,7.56,4.57,1860,GIA Lab-Grown,
Oval,,D,VVS2,1.01,1.6,56.7,58,Excellent,Very Good,Slightly Thick to Thick,None,8.92,5.57,3.16,4410,GIA,Strong
Round,Very Good,H,VS2,1,1.01,63.4,58,Excellent,Very Good,Medium to Slightly Thick,None,6.3,6.35,4.01,3490,GIA,None
Heart,,F,VS2,1.01,1.18,60.7,61,Excellent,Excellent,Slightly Thick to Very Thick,None,5.89,6.96,4.23,4110,GIA,None
Marquise,,D,VS2,1,1.88,62.4,59,Excellent,Very Good,Very Thick,None,9.77,5.19,3.24,4740,GIA,Faint
Round,Ideal,E,VS1,1.58,1,61.1,59,Excellent,Excellent,Medium,Pointed,7.48,7.51,4.58,1840,IGI Lab-Grown,None
Pear,,D,VS2,1,1.8,63.1,58,Excellent,Very Good,Thin to Thick,None,9.61,5.33,3.36,4250,GIA,None
Radiant,,D,VVS2,1.01,1.38,66.8,64,Excellent,Excellent,Thick to Very Thick,None,6.95,5.02,3.36,1270,GIA Lab-Grown,
Pear,,H,IF,1.12,1.5,62.1,57,Very Good,Excellent,Medium to Thick,None,8.81,5.88,3.65,4880,GIA,None
Radiant,,D,VVS2,1.03,1.43,64.3,66,Excellent,Excellent,Slightly Thick to Very Thick,None,7.29,5.11,3.28,1290,GIA Lab-Grown,
Heart,,H,VS2,1,1.16,61,55,Excellent,Very Good,Thick to Very Thick,None,5.87,6.81,4.15,4220,GIA,None
Oval,,E,VS2,1,1.39,61.7,60,Excellent,Very Good,Thin to Very Thick,None,7.85,5.66,3.49,4547,GIA,Faint
Cushion Modified,Ideal,F,VS1,1.07,1.05,67.7,64,Excellent,Excellent,Slightly Thick to Very Thick,None,5.85,5.58,3.78,2450,GIA,Strong
Pear,,D,VS2,1,1.53,63.1,62,Excellent,Very Good,Thick to Very Thick,None,8.54,5.57,3.52,4110,GIA,Strong
Heart,,F,VS1,1.56,1.1,55.6,59,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.37,8.09,4.5,1910,IGI Lab-Grown,None
Round,Excellent,H,VS2,1,1,60.8,61,Excellent,Excellent,Medium to Slightly Thick,None,6.43,6.46,3.92,4100,GIA,None
Princess,Ideal,D,VS1,1.04,1.02,72.8,67,Excellent,Very Good,Slightly Thick to Thick,None,5.63,5.5,4,1070,GIA Lab-Grown,
Emerald,,H,VS2,1.02,1.4,68.9,64,Excellent,Excellent,Thick to Very Thick,None,6.62,4.73,3.26,2620,GIA,None
Princess,Ideal,D,VS1,1.03,1.02,72.6,67,Excellent,Excellent,Medium,Pointed,5.67,5.54,4.02,1110,IGI Lab-Grown,None
Princess,Ideal,G,VS1,1.04,1.01,74.3,71,Excellent,Very Good,Thick,None,5.53,5.49,4.08,3000,GIA,None
Radiant,,H,VVS2,1.03,1.3,68.3,68,Excellent,Excellent,Thick to Very Thick,None,6.45,4.97,3.39,3670,GIA,None
Princess,Ideal,E,VS1,1.05,1.01,71.5,65,Excellent,Excellent,Medium to Slightly Thick,Pointed,5.61,5.57,3.98,1040,IGI Lab-Grown,None
Cushion Modified,Ideal,E,VVS2,1.59,1.02,66.8,62,Excellent,Excellent,Thin to Slightly Thick,None,6.84,6.7,4.47,3200,GIA Lab-Grown,
Round,Excellent,D,VS1,1.58,1.01,61.7,58,Excellent,Excellent,Medium,None,7.44,7.48,4.61,1850,GIA Lab-Grown,
Marquise,,F,VS2,1,1.81,64.9,64,Excellent,Very Good,Thick to Extremely Thick,None,9.47,5.22,3.39,4670,GIA,None
Round,Ideal,E,VS1,1.58,1,61.2,58,Excellent,Excellent,Medium,Pointed,7.47,7.5,4.58,1840,IGI Lab-Grown,None
Pear,,D,VS1,1,1.68,57.1,63,Very Good,Very Good,Slightly Thick to Thick,None,9.19,5.48,3.13,4550,GIA,None
Radiant,,D,VVS1,1.01,1.36,68.7,68,Excellent,Very Good,Medium to Thick,None,6.98,5.12,3.52,5460,GIA,None
Pear,,E,VVS2,1,1.58,61.3,62,Excellent,Excellent,Medium to Thick,None,8.72,5.52,3.38,5070,GIA,Faint
Oval,,E,VS1,1.1,1.5,61.6,61,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.69,5.81,3.58,1070,IGI Lab-Grown,None
Heart,,D,VVS2,2.5,1.18,57.3,55,Excellent,Excellent,Thin to Thick,None,8.24,9.72,5.57,5270,GIA Lab-Grown,
Marquise,,E,VS1,1,1.92,57.5,62,Excellent,Excellent,Thick,Pointed,10.45,5.43,3.12,1330,IGI Lab-Grown,None
Round,Excellent,H,VS1,1,1.01,63.2,55,Excellent,Excellent,Medium to Slightly Thick,None,6.3,6.34,4,4100,GIA,None
Oval,,E,VS1,1.05,1.41,59.9,59,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.26,5.86,3.51,1030,IGI Lab-Grown,None
Round,Excellent,G,VS2,1,1.01,63.3,58,Excellent,Excellent,Medium to Slightly Thick,None,6.3,6.35,4,4040,GIA,None
Oval,,G,VVS1,1.01,1.46,63,57,Excellent,Excellent,Thick to Very Thick,None,7.93,5.43,3.42,4580,GIA,Medium
Round,Very Good,H,VVS1,1.01,1.01,64.7,56,Excellent,Excellent,Slightly Thick to Thick,None,6.24,6.28,4.05,3930,GIA,None
Marquise,,E,VS1,1.09,1.92,63.2,56,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.33,5.38,3.4,1100,IGI Lab-Grown,None
Radiant,,F,VS1,1.1,1.43,67.9,65,Excellent,Excellent,Medium,Pointed,7.25,5.08,3.45,1130,IGI Lab-Grown,None
Round,Excellent,G,VS1,1.01,1.01,62.3,56,Excellent,Excellent,Medium to Slightly Thick,None,6.4,6.44,4,4010,GIA,Strong
Radiant,,F,VS1,1.02,1.42,67,64,Excellent,Excellent,Medium,Pointed,7.07,4.97,3.33,1060,IGI Lab-Grown,None
Oval,,H,VS1,1.01,1.38,65.1,55,Excellent,Excellent,Medium to Thick,None,7.63,5.53,3.6,3950,GIA,None
Round,Excellent,E,VS1,1.52,1,61.7,58,Excellent,Excellent,Medium,None,7.4,7.41,4.57,3950,GIA Lab-Grown,
Round,Excellent,D,VS1,1.57,1.01,61.4,58,Excellent,Excellent,Medium to Slightly Thick,None,7.44,7.48,4.58,1840,GIA Lab-Grown,
Cushion Modified,Ideal,F,VS1,2.05,1.03,67.2,62,Excellent,Excellent,Slightly Thick to Thick,None,7.42,7.23,4.86,4880,GIA Lab-Grown,
Radiant,,F,VS1,1.01,1.33,67.3,67,Excellent,Very Good,Thick to Very Thick,None,6.69,5.02,3.38,4340,GIA,Faint
Radiant,,G,VVS1,1,1.15,75.8,67,Very Good,Very Good,Slightly Thick to Thick,None,5.81,5.04,3.82,4020,GIA,Medium
Cushion Modified,Ideal,E,VVS2,1.69,1.01,66.6,61,Excellent,Excellent,Medium to Slightly Thick,None,6.96,6.86,4.57,2710,GIA Lab-Grown,
Radiant,,G,VS2,1.01,1.35,68.6,68,Excellent,Excellent,Very Thick,None,6.72,4.99,3.42,3160,GIA,None
Oval,,E,VS1,1.09,1.42,62.4,60,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.32,5.85,3.65,1060,IGI Lab-Grown,None
Oval,,D,VS1,1.01,1.57,63.6,58,Very Good,Very Good,Slightly Thick to Very Thick,None,8.32,5.31,3.38,5090,GIA,None
Marquise,,D,VS1,1,2.06,63,62,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.58,5.14,3.24,1090,IGI Lab-Grown,None
Heart,,E,VVS2,4.05,1.09,55.8,66,Excellent,Excellent,Thin to Thick,None,10.26,11.15,6.22,10020,GIA Lab-Grown,
Princess,Ideal,E,VS2,1,1.02,72.1,70,Excellent,Very Good,Medium to Slightly Thick,None,5.62,5.53,3.99,3430,GIA,None
Round,Ideal,E,VS1,1.58,1,61.2,57,Excellent,Excellent,Thin to Medium,Pointed,7.51,7.54,4.6,1840,IGI Lab-Grown,None
Pear,,D,VVS2,1.01,1.61,59.2,60,Excellent,Very Good,Slightly Thick to Thick,None,9.14,5.67,3.35,4070,GIA,Medium
Pear,,D,VS1,1.01,1.6,60.6,57,Excellent,Excellent,Medium to Thick,None,9.03,5.63,3.42,1100,GIA Lab-Grown,
Pear,,E,VS1,1.09,1.58,61.9,59,Excellent,Excellent,Slightly Thick to Thick,None,9.09,5.76,3.57,1100,GIA Lab-Grown,
Marquise,,H,IF,1.01,1.92,62.5,63,Excellent,Excellent,Thick to Very Thick,None,10.11,5.27,3.3,5370,GIA,None
Heart,,D,VVS2,2.49,1.14,60.9,61,Excellent,Excellent,Medium to Thick,Pointed,8.16,9.33,5.68,5050,IGI Lab-Grown,None
Oval,,D,VS1,1.02,1.37,60.1,61,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.01,5.84,3.51,1080,IGI Lab-Grown,None
Pear,,F,VS1,1.1,1.61,61.1,60,Excellent,Excellent,Medium to Slightly Thick,Pointed,9.4,5.83,3.56,1080,IGI Lab-Grown,None
Heart,,G,VVS2,1.01,1.2,61,59,Very Good,Very Good,Medium to Thick,None,5.71,6.88,4.2,4340,GIA,Medium
Marquise,,E,VS1,1,2.05,63.1,58,Excellent,Very Good,Medium to Thick,None,10.44,5.09,3.21,5910,GIA,None
Round,Ideal,D,VS1,1.58,1.01,61.1,57,Excellent,Excellent,Medium,Pointed,7.49,7.54,4.59,1850,IGI Lab-Grown,None
Princess,Ideal,E,VS1,1.24,1.01,72.7,70,Excellent,Excellent,Medium,Pointed,5.97,5.89,4.28,1210,IGI Lab-Grown,None
Emerald,,H,VS2,1,1.3,72.5,68,Excellent,Excellent,Slightly Thick,None,6.16,4.74,3.44,2310,GIA,None
Radiant,,G,IF,1,1.26,68.5,66,Excellent,Excellent,Thick to Very Thick,None,6.29,5.01,3.43,5120,GIA,None
Pear,,E,VVS2,1.01,1.53,63.7,61,Excellent,Excellent,Slightly Thick to Thick,None,8.57,5.59,3.57,4760,GIA,Medium
Pear,,F,VS2,1.01,1.5,63.6,61,Excellent,Very Good,Slightly Thick to Very Thick,None,8.39,5.6,3.56,4380,GIA,None
Radiant,,E,VS1,1.06,1.44,66.6,66,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.2,5,3.33,1050,IGI Lab-Grown,None
Marquise,,E,VS1,1.03,1.99,63,60,Excellent,Very Good,Slightly Thick to Thick,None,10.39,5.22,3.29,6110,GIA,Faint
Oval,,D,VS1,1.02,1.41,61.7,62,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.07,5.74,3.54,1080,IGI Lab-Grown,None
Princess,Ideal,G,VVS2,1.02,1,72.4,71,Excellent,Excellent,Medium to Slightly Thick,None,5.52,5.5,3.98,3350,GIA,Faint
Oval,,E,VVS1,1,1.3,64.9,57,Excellent,Very Good,Thick to Extremely Thick,None,7.23,5.58,3.62,4850,GIA,Faint
Round,Very Good,H,VS2,1,1.01,64.5,56,Excellent,Very Good,Slightly Thick to Thick,None,6.18,6.24,4.01,3680,GIA,None
Round,Ideal,D,VS1,1.56,1.01,61.5,58,Excellent,Excellent,Medium,Pointed,7.41,7.47,4.58,1830,IGI Lab-Grown,None
Radiant,,G,VS2,1.04,1.02,68.8,70,Very Good,Very Good,Very Thick,None,5.68,5.58,3.84,4500,GIA,None
Round,Excellent,H,VS2,1,1,61.5,58,Excellent,Excellent,Slightly Thick,None,6.38,6.41,3.94,3520,GIA,Faint
Radiant,,H,VS2,1.05,1.27,67.5,67,Excellent,Excellent,Thick to Very Thick,None,6.54,5.15,3.48,3510,GIA,None
Oval,,E,VS1,1.15,1.48,61.3,62,Excellent,Very Good,Slightly Thick to Thick,None,8.67,5.85,3.59,1060,GIA Lab-Grown,
Cushion Modified,Ideal,F,VS1,2.04,1.01,66.2,62,Excellent,Excellent,Medium to Slightly Thick,None,7.45,7.35,4.87,4860,GIA Lab-Grown,
Heart,,G,IF,1.01,1.13,59.8,57,Excellent,Excellent,Very Thick to Extremely Thick,None,5.97,6.72,4.02,3940,GIA,Faint
Heart,,E,VS1,1.59,1.16,57.9,57,Excellent,Excellent,Thin to Thick,None,7.08,8.22,4.76,2040,GIA Lab-Grown,
Marquise,,D,VS2,1,1.9,60.8,60,Very Good,Good,Very Thick to Extremely Thick,None,10.05,5.28,3.21,4400,GIA,Medium
Pear,,F,VS2,1.02,1.55,61.1,60,Excellent,Very Good,Slightly Thick to Very Thick,None,8.75,5.63,3.44,4000,GIA,Faint
Pear,,D,VS2,1,1.45,66.5,60,Excellent,Excellent,Thick to Very Thick,None,7.94,5.48,3.65,4340,GIA,None
Marquise,,H,VVS2,1.06,1.96,60.8,61,Excellent,Excellent,Medium to Thick,None,10.6,5.41,3.29,5480,GIA,None
Princess,Ideal,E,VVS2,1.05,1.02,69.3,68,Excellent,Very Good,Medium to Slightly Thick,None,5.77,5.65,3.91,1150,GIA Lab-Grown,
Pear,,H,VVS1,1,1.45,54.9,58,Very Good,Very Good,Slightly Thick to Very Thick,None,8.45,5.83,3.2,4070,GIA,None
Princess,Ideal,D,VS1,1.09,1.01,72.6,68,Excellent,Very Good,Slightly Thick to Thick,None,5.58,5.55,4.03,1120,GIA Lab-Grown,
